('VIDEO_DIP_VSC_DATA_1_D', '0x63324', '')
('VIDEO_DIP_VSC_DATA_2_D', '0x63328', '')
('VIDEO_DIP_VSC_DATA_3_D', '0x6332C', '')
('VIDEO_DIP_VSC_DATA_4_D', '0x63330', '')
('VIDEO_DIP_VSC_DATA_5_D', '0x63334', '')
('VIDEO_DIP_VSC_DATA_6_D', '0x63338', '')
('VIDEO_DIP_VSC_DATA_7_D', '0x6333C', '')
('VIDEO_DIP_VSC_DATA_8_D', '0x63340', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_0_D', '0x63484', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_1_D', '0x63488', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_2_D', '0x6348C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_3_D', '0x63490', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_4_D', '0x63494', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_5_D', '0x63498', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_6_D', '0x6349C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_7_D', '0x634A0', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_8_D', '0x634A4', '')
('VIDEO_DIP_AVI_ECC_0_A', '0x60240', '')
('VIDEO_DIP_AVI_ECC_1_A', '0x60244', '')
('VIDEO_DIP_VSC_ECC_COG3_0_A', '0x60248', '')
('VIDEO_DIP_VSC_ECC_COG3_1_A', '0x6024C', '')
('VIDEO_DIP_VSC_ECC_COG3_2_A', '0x60250', '')
('VIDEO_DIP_VSC_ECC_COG4_0_A', '0x60254', '')
('VIDEO_DIP_VSC_ECC_COG4_1_A', '0x60258', '')
('VIDEO_DIP_VSC_ECC_COG4_2_A', '0x6025C', '')
('VIDEO_DIP_VS_ECC_0_A', '0x60280', '')
('VIDEO_DIP_VS_ECC_1_A', '0x60284', '')
('VIDEO_DIP_SPD_ECC_0_A', '0x602C0', '')
('VIDEO_DIP_SPD_ECC_1_A', '0x602C4', '')
('VIDEO_DIP_VSC_ECC_COG2_0_A', '0x602D0', '')
